Топшириқлар рўйхати,,,,,,, 28/72,5/20,,,,,
,,,,Маъсул бўлим,Жами,Жараёнда,Муддати бузилган,,,,,,
44,FALSE,28.03 / 09:54,Паст,Кундузги қатнов мобил хизматлар Мурувват уйларида,Методология,,,Директор,0,0,1,0,
45,FALSE,26.03 / 14:52,Паст,УТ қарори ўзгартириш киритиш масаласи Алишер билан гаплашиш (Нодир Кенжаев),Бошқа,,,Бошқа*,0,0,1,0,
46,TRUE,26.03 / 14:52,Юқори,Қашқадарё вилоятининг 2 та тумани билан гаплашиш,Бошқа,24.03,12 кун,Бошқа*,0,1,0,0,
47,FALSE,26.03 / 14:52,Юқори,Мурожаатлар классификациясини таскга боғлаш,ИНСОН,,,Бошқа*,0,0,1,0,
48,TRUE,28.03 / 09:53,Юқори,Нафақа масаласини ижтимоий ходимлар билан гаплашиш (Камбағаллик реестридан ягонага ўтказиш бўйича),Методология,31.03,3 кун,Директор,0,1,0,0,
49,TRUE,27.03 / 22:25,Юқори,Шайхонтохур Инсонга монитор куйиш масаласи,Бошқа,26.03,1 кун,Директор,0,1,0,0,
50,FALSE,28.03 / 09:53,Юқори,Фаластин бўйича чора тадбирларни якунлаш ,Методология,30.03,6 кун,Администрация,1,0,0,0,
51,TRUE,28.03 / 10:09,Ўртача,Олий мажлис Кун тартиби ва ўтказиш жойи йиғилиш масаласи,Бошқа,28.03,5 кун,Бошқа*,0,1,0,0,
52,TRUE,28.03 / 11:00,Ўртача,"ЮНИСЕФ эксперти билан учрашув соат 14:00 да 
Чилонзор тумани Инспекция биносида",Бошқа,28.03,4 кун,Бошқа*,0,1,0,0,
53,FALSE,01.04 / 15:53,Юқори,Фаргона бошлигининг зами масаласи,Бошқа,,,Бошқа*,0,0,1,0,01.04.2025
54,FALSE,02.04 / 20:29,Юқори,"""Инсон"" модулига IRPни улаш",ИНСОН,,,Директор,0,0,1,0,02.04 / 20:29
55,FALSE,03.04 / 10:49,Ўртача,Сирдарё вилояти Ижтимоий шартнома буйича бориш (Ховос),Бошқа,,,Администрация,0,0,1,0,03.04 / 10:49
56,FALSE,01.04 / 16:06,Ўртача,Супервайзрлар буйича директорга ахборот тайёрлаш,Методология,06.04,,Директор,0,0,1,0,01.04 / 16:06
57,FALSE,01.04 / 16:08,Юқори,"""Саховат ва кумак"" хисоботини директорга тайёрлаш",Методология,,,Директор,0,0,1,0,01.04 / 16:08
58,FALSE,01.04 / 16:09,Юқори,Энг фаол ижтимоий ходим буйругини тайёрлаш,Методология,,,Бошқа*,0,0,1,0,01.04 / 16:09
59,TRUE,01.04 / 16:12,Юқори,"Пайарик туман (хоким, инсон бошлиги) буйича маълумот директорга айтиш",Бошқа,01.04,1 кун,Директор,0,1,0,0,01.04 / 16:12
60,FALSE,02.04 / 10:50,Паст,Хаитов билан Фаластин реаблитациясини гаплашиш,Бошқа,05.04,Муддати бугун,Администрация,0,0,1,0,02.04 / 10:50
61,FALSE,02.04 / 10:53,Ўртача,Шайхонтохур инсонни бошлиги билан гаплашиш,ИНСОН,03.04,2 кун,Бошқа*,1,0,0,0,02.04 / 10:53
62,FALSE,02.04 / 10:54,Паст,Инвесткадаги мактаблар курилиши буйича гаплашиш,Инфратузилма,03.04,2 кун,Бошқа*,1,0,0,0,02.04 / 10:54
63,FALSE,03.04 / 16:01,Ўртача,Азаматни ойлиги масаласи. Хаитов билан ишлаш (докладнойни олиб киритиш),Бошқа,04.04,1 кун,Бошқа*,1,0,0,0,03.04 / 16:01
64,FALSE,02.04 / 20:27,Юқори,"Ариза айтиси, Face ID Азамат программасини Зулфиддин билан гаплашиш",Бошқа,04.04,1 кун,Бошқа*,1,0,0,0,02.04 / 20:27
65,FALSE,02.04 / 12:02,Ўртача,"Краудфондинг буйича холатни урганиш, Бахтиер ака Хайдаровга жунатиш",Методология,05.04,Муддати бугун,Бошқа*,0,0,1,0,02.04 / 12:02
66,TRUE,02.04 / 17:51,Юқори,Камбагал оилалар ва ягона ижтимоий химоя реестри фаркини тайёрлаш (Бюджет Шерзод),Бошқа,02.04,1 кун,Бошқа*,0,1,0,0,02.04 / 17:51
67,TRUE,03.04 / 09:45,Юқори,Вилоят бошликларига КПИ-АЙни тушунтириш,ИНСОН,04.04,Муддати бугун,Бошқа*,0,0,0,1,03.04 / 09:45
68,FALSE,03.04 / 14:29,Ўртача,Асосий бинога электр энергияси тортиш буйича гаплашиш,Инфратузилма,04.04,1 кун,Бошқа*,1,0,0,0,03.04 / 14:29
69,TRUE,03.04 / 15:59,Ўртача,Энг фаол ижтимоий ходим тахлиллар билан куриш,Методология,,,Бошқа*,0,0,0,1,03.04 / 15:59
70,TRUE,03.04 / 17:29,Юқори,Дониш билан Хоразм буйича гаплашиш,Инфратузилма,04.04,,Администрация,0,0,0,1,03.04 / 17:29
71,FALSE,04.04 / 15:00,Ўртача,Малака талабларини ишлаб чиқиш масласини охирига етказиш,Методология,05.04,Муддати бугун,Бошқа*,0,0,1,0,04.04 / 15:00
73,FALSE,05.04 / 11:53,Юқори,Саховат ва кумак жамгармаси тахлили билан ишлаш (Мухаммадбобур),Методология,09.04,,Бошқа*,0,0,1,0,05.04.2025
74,FALSE,,,,,,,,0,0,0,0,
75,FALSE,,,,,,,,0,0,0,0,
76,FALSE,,,,,,,,0,0,0,0,
77,FALSE,,,,,,,,0,0,0,0,
78,FALSE,,,,,,,,0,0,0,0,
79,FALSE,,,,,,,,0,0,0,0,
80,FALSE,,,,,,,,0,0,0,0,
81,FALSE,,,,,,,,0,0,0,0,
82,FALSE,,,,,,,,0,0,0,0,
83,FALSE,,,,,,,,0,0,0,0,
84,FALSE,,,,,,,,0,0,0,0,
85,FALSE,,,,,,,,0,0,0,0,
86,FALSE,,,,,,,,0,0,0,0,
87,FALSE,,,,,,,,0,0,0,0,
88,FALSE,,,,,,,,0,0,0,0,
89,FALSE,,,,,,,,0,0,0,0,
90,FALSE,,,,,,,,0,0,0,0,
91,FALSE,,,,,,,,0,0,0,0,
92,FALSE,,,,,,,,0,0,0,0,
93,FALSE,,,,,,,,0,0,0,0,
94,FALSE,,,,,,,,0,0,0,0,
95,FALSE,,,,,,,,0,0,0,0,
96,FALSE,,,,,,,,0,0,0,0,
97,FALSE,,,,,,,,0,0,0,0,
98,FALSE,,,,,,,,0,0,0,0,
99,FALSE,,,,,,,,0,0,0,0,
100,FALSE,,,,,,,,0,0,0,0,
101,FALSE,,,,,,,,0,0,0,0,
102,FALSE,,,,,,,,0,0,0,0,
103,FALSE,,,,,,,,0,0,0,0,
104,FALSE,,,,,,,,0,0,0,0,
105,FALSE,,,,,,,,0,0,0,0,
106,FALSE,,,,,,,,0,0,0,0,
107,FALSE,,,,,,,,0,0,0,0,
108,FALSE,,,,,,,,0,0,0,0,
109,FALSE,,,,,,,,0,0,0,0,
110,FALSE,,,,,,,,0,0,0,0,
111,FALSE,,,,,,,,0,0,0,0,
112,FALSE,,,,,,,,0,0,0,0,
113,FALSE,,,,,,,,0,0,0,0,
114,FALSE,,,,,,,,0,0,0,0,
115,FALSE,,,,,,,,0,0,0,0,
116,FALSE,,,,,,,,0,0,0,0,
117,FALSE,,,,,,,,0,0,0,0,
118,FALSE,,,,,,,,0,0,0,0,
119,FALSE,,,,,,,,0,0,0,0,
120,FALSE,,,,,,,,0,0,0,0,
121,FALSE,,,,,,,,0,0,0,0,
122,FALSE,,,,,,,,0,0,0,0,
123,FALSE,,,,,,,,0,0,0,0,
124,FALSE,,,,,,,,0,0,0,0,
125,FALSE,,,,,,,,0,0,0,0,
126,FALSE,,,,,,,,0,0,0,0,
127,FALSE,,,,,,,,0,0,0,0,
128,FALSE,,,,,,,,0,0,0,0,
129,FALSE,,,,,,,,0,0,0,0,
130,FALSE,,,,,,,,0,0,0,0,
131,FALSE,,,,,,,,0,0,0,0,
132,FALSE,,,,,,,,0,0,0,0,
133,FALSE,,,,,,,,0,0,0,0,
134,FALSE,,,,,,,,0,0,0,0,
135,FALSE,,,,,,,,0,0,0,0,
136,FALSE,,,,,,,,0,0,0,0,
137,FALSE,,,,,,,,0,0,0,0,
138,FALSE,,,,,,,,0,0,0,0,
139,FALSE,,,,,,,,0,0,0,0,
140,FALSE,,,,,,,,0,0,0,0,
141,FALSE,,,,,,,,0,0,0,0,
142,FALSE,,,,,,,,0,0,0,0,
143,FALSE,,,,,,,,0,0,0,0,
144,FALSE,,,,,,,,0,0,0,0,
145,FALSE,,,,,,,,0,0,0,0,
146,FALSE,,,,,,,,0,0,0,0,
147,FALSE,,,,,,,,0,0,0,0,
148,FALSE,,,,,,,,0,0,0,0,
149,FALSE,,,,,,,,0,0,0,0,
150,FALSE,,,,,,,,0,0,0,0,
151,FALSE,,,,,,,,0,0,0,0,
152,FALSE,,,,,,,,0,0,0,0,
153,FALSE,,,,,,,,0,0,0,0,
154,FALSE,,,,,,,,0,0,0,0,
155,FALSE,,,,,,,,0,0,0,0,
156,FALSE,,,,,,,,0,0,0,0,
157,FALSE,,,,,,,,0,0,0,0,
158,FALSE,,,,,,,,0,0,0,0,
159,FALSE,,,,,,,,0,0,0,0,
160,FALSE,,,,,,,,0,0,0,0,
161,FALSE,,,,,,,,0,0,0,0,
162,FALSE,,,,,,,,0,0,0,0,
163,FALSE,,,,,,,,0,0,0,0,
164,FALSE,,,,,,,,0,0,0,0,
165,FALSE,,,,,,,,0,0,0,0,
166,FALSE,,,,,,,,0,0,0,0,
167,FALSE,,,,,,,,0,0,0,0,
168,FALSE,,,,,,,,0,0,0,0,
169,FALSE,,,,,,,,0,0,0,0,
170,FALSE,,,,,,,,0,0,0,0,
171,FALSE,,,,,,,,0,0,0,0,
172,FALSE,,,,,,,,0,0,0,0,
173,FALSE,,,,,,,,0,0,0,0,
174,FALSE,,,,,,,,0,0,0,0,
175,FALSE,,,,,,,,0,0,0,0,
176,FALSE,,,,,,,,0,0,0,0,
177,FALSE,,,,,,,,0,0,0,0,
178,FALSE,,,,,,,,0,0,0,0,
179,FALSE,,,,,,,,0,0,0,0,
180,FALSE,,,,,,,,0,0,0,0,
181,FALSE,,,,,,,,0,0,0,0,
182,FALSE,,,,,,,,0,0,0,0,
183,FALSE,,,,,,,,0,0,0,0,
184,FALSE,,,,,,,,0,0,0,0,
185,FALSE,,,,,,,,0,0,0,0,
186,FALSE,,,,,,,,0,0,0,0,
187,FALSE,,,,,,,,0,0,0,0,
188,FALSE,,,,,,,,0,0,0,0,
189,FALSE,,,,,,,,0,0,0,0,
190,FALSE,,,,,,,,0,0,0,0,
191,FALSE,,,,,,,,0,0,0,0,
192,FALSE,,,,,,,,0,0,0,0,
193,FALSE,,,,,,,,0,0,0,0,
194,FALSE,,,,,,,,0,0,0,0,
195,FALSE,,,,,,,,0,0,0,0,
196,FALSE,,,,,,,,0,0,0,0,
197,FALSE,,,,,,,,0,0,0,0,
198,FALSE,,,,,,,,0,0,0,0,
199,FALSE,,,,,,,,0,0,0,0,
200,FALSE,,,,,,,,0,0,0,0,
201,FALSE,,,,,,,,0,0,0,0,
202,FALSE,,,,,,,,0,0,0,0,
203,FALSE,,,,,,,,0,0,0,0,
204,FALSE,,,,,,,,0,0,0,0,
205,FALSE,,,,,,,,0,0,0,0,
206,FALSE,,,,,,,,0,0,0,0,
207,FALSE,,,,,,,,0,0,0,0,
208,FALSE,,,,,,,,0,0,0,0,
209,FALSE,,,,,,,,0,0,0,0,
210,FALSE,,,,,,,,0,0,0,0,
211,FALSE,,,,,,,,0,0,0,0,
212,FALSE,,,,,,,,0,0,0,0,
213,FALSE,,,,,,,,0,0,0,0,
214,FALSE,,,,,,,,0,0,0,0,
215,FALSE,,,,,,,,0,0,0,0,
216,FALSE,,,,,,,,0,0,0,0,
217,FALSE,,,,,,,,0,0,0,0,
218,FALSE,,,,,,,,0,0,0,0,
219,FALSE,,,,,,,,0,0,0,0,
220,FALSE,,,,,,,,0,0,0,0,
221,FALSE,,,,,,,,0,0,0,0,
222,FALSE,,,,,,,,0,0,0,0,
223,FALSE,,,,,,,,0,0,0,0,
224,FALSE,,,,,,,,0,0,0,0,
225,FALSE,,,,,,,,0,0,0,0,
226,FALSE,,,,,,,,0,0,0,0,
227,FALSE,,,,,,,,0,0,0,0,
228,FALSE,,,,,,,,0,0,0,0,
229,FALSE,,,,,,,,0,0,0,0,
230,FALSE,,,,,,,,0,0,0,0,
231,FALSE,,,,,,,,0,0,0,0,
232,FALSE,,,,,,,,0,0,0,0,
233,FALSE,,,,,,,,0,0,0,0,
234,FALSE,,,,,,,,0,0,0,0,
235,FALSE,,,,,,,,0,0,0,0,
236,FALSE,,,,,,,,0,0,0,0,
237,FALSE,,,,,,,,0,0,0,0,
238,FALSE,,,,,,,,0,0,0,0,
239,FALSE,,,,,,,,0,0,0,0,
240,FALSE,,,,,,,,0,0,0,0,
241,FALSE,,,,,,,,0,0,0,0,
242,FALSE,,,,,,,,0,0,0,0,
243,FALSE,,,,,,,,0,0,0,0,
244,FALSE,,,,,,,,0,0,0,0,
245,FALSE,,,,,,,,0,0,0,0,
246,FALSE,,,,,,,,0,0,0,0,
247,FALSE,,,,,,,,0,0,0,0,
248,FALSE,,,,,,,,0,0,0,0,
249,FALSE,,,,,,,,0,0,0,0,
250,FALSE,,,,,,,,0,0,0,0,
251,FALSE,,,,,,,,0,0,0,0,
252,FALSE,,,,,,,,0,0,0,0,
253,FALSE,,,,,,,,0,0,0,0,
254,FALSE,,,,,,,,0,0,0,0,
255,FALSE,,,,,,,,0,0,0,0,
256,FALSE,,,,,,,,0,0,0,0,
257,FALSE,,,,,,,,0,0,0,0,
258,FALSE,,,,,,,,0,0,0,0,
259,FALSE,,,,,,,,0,0,0,0,
260,FALSE,,,,,,,,0,0,0,0,
261,FALSE,,,,,,,,0,0,0,0,
262,FALSE,,,,,,,,0,0,0,0,
263,FALSE,,,,,,,,0,0,0,0,
264,FALSE,,,,,,,,0,0,0,0,
265,FALSE,,,,,,,,0,0,0,0,
266,FALSE,,,,,,,,0,0,0,0,
267,FALSE,,,,,,,,0,0,0,0,
268,FALSE,,,,,,,,0,0,0,0,
269,FALSE,,,,,,,,0,0,0,0,
270,FALSE,,,,,,,,0,0,0,0,
271,FALSE,,,,,,,,0,0,0,0,
272,FALSE,,,,,,,,0,0,0,0,
273,FALSE,,,,,,,,0,0,0,0,
274,FALSE,,,,,,,,0,0,0,0,
275,FALSE,,,,,,,,0,0,0,0,
276,FALSE,,,,,,,,0,0,0,0,
277,FALSE,,,,,,,,0,0,0,0,
278,FALSE,,,,,,,,0,0,0,0,
279,FALSE,,,,,,,,0,0,0,0,
280,FALSE,,,,,,,,0,0,0,0,
281,FALSE,,,,,,,,0,0,0,0,
282,FALSE,,,,,,,,0,0,0,0,
283,FALSE,,,,,,,,0,0,0,0,
284,FALSE,,,,,,,,0,0,0,0,
285,FALSE,,,,,,,,0,0,0,0,
286,FALSE,,,,,,,,0,0,0,0,
287,FALSE,,,,,,,,0,0,0,0,
288,FALSE,,,,,,,,0,0,0,0,
289,FALSE,,,,,,,,0,0,0,0,
290,FALSE,,,,,,,,0,0,0,0,
291,FALSE,,,,,,,,0,0,0,0,
292,FALSE,,,,,,,,0,0,0,0,
293,FALSE,,,,,,,,0,0,0,0,
294,FALSE,,,,,,,,0,0,0,0,
295,FALSE,,,,,,,,0,0,0,0,
296,FALSE,,,,,,,,0,0,0,0,
297,FALSE,,,,,,,,0,0,0,0,
298,FALSE,,,,,,,,0,0,0,0,
299,FALSE,,,,,,,,0,0,0,0,
300,FALSE,,,,,,,,0,0,0,0,
301,FALSE,,,,,,,,0,0,0,0,
302,FALSE,,,,,,,,0,0,0,0,
303,FALSE,,,,,,,,0,0,0,0,
304,FALSE,,,,,,,,0,0,0,0,
305,FALSE,,,,,,,,0,0,0,0,
306,FALSE,,,,,,,,0,0,0,0,
307,FALSE,,,,,,,,0,0,0,0,
308,FALSE,,,,,,,,0,0,0,0,
309,FALSE,,,,,,,,0,0,0,0,
310,FALSE,,,,,,,,0,0,0,0,
311,FALSE,,,,,,,,0,0,0,0,
312,FALSE,,,,,,,,0,0,0,0,
313,FALSE,,,,,,,,0,0,0,0,
314,FALSE,,,,,,,,0,0,0,0,
315,FALSE,,,,,,,,0,0,0,0,
316,FALSE,,,,,,,,0,0,0,0,
317,FALSE,,,,,,,,0,0,0,0,
318,FALSE,,,,,,,,0,0,0,0,
319,FALSE,,,,,,,,0,0,0,0,
320,FALSE,,,,,,,,0,0,0,0,
321,FALSE,,,,,,,,0,0,0,0,
322,FALSE,,,,,,,,0,0,0,0,
323,FALSE,,,,,,,,0,0,0,0,
324,FALSE,,,,,,,,0,0,0,0,
325,FALSE,,,,,,,,0,0,0,0,
326,FALSE,,,,,,,,0,0,0,0,
327,FALSE,,,,,,,,0,0,0,0,
328,FALSE,,,,,,,,0,0,0,0,
329,FALSE,,,,,,,,0,0,0,0,
330,FALSE,,,,,,,,0,0,0,0,
331,FALSE,,,,,,,,0,0,0,0,
332,FALSE,,,,,,,,0,0,0,0,
333,FALSE,,,,,,,,0,0,0,0,
334,FALSE,,,,,,,,0,0,0,0,
335,FALSE,,,,,,,,0,0,0,0,
336,FALSE,,,,,,,,0,0,0,0,
337,FALSE,,,,,,,,0,0,0,0,
338,FALSE,,,,,,,,0,0,0,0,
339,FALSE,,,,,,,,0,0,0,0,
340,FALSE,,,,,,,,0,0,0,0,
341,FALSE,,,,,,,,0,0,0,0,
342,FALSE,,,,,,,,0,0,0,0,
343,FALSE,,,,,,,,0,0,0,0,
344,FALSE,,,,,,,,0,0,0,0,
345,FALSE,,,,,,,,0,0,0,0,
346,FALSE,,,,,,,,0,0,0,0,
347,FALSE,,,,,,,,0,0,0,0,
348,FALSE,,,,,,,,0,0,0,0,
349,FALSE,,,,,,,,0,0,0,0,
350,FALSE,,,,,,,,0,0,0,0,
351,FALSE,,,,,,,,0,0,0,0,
352,FALSE,,,,,,,,0,0,0,0,
353,FALSE,,,,,,,,0,0,0,0,
354,FALSE,,,,,,,,0,0,0,0,
355,FALSE,,,,,,,,0,0,0,0,
356,FALSE,,,,,,,,0,0,0,0,
357,FALSE,,,,,,,,0,0,0,0,
358,FALSE,,,,,,,,0,0,0,0,
359,FALSE,,,,,,,,0,0,0,0,
360,FALSE,,,,,,,,0,0,0,0,
361,FALSE,,,,,,,,0,0,0,0,
362,FALSE,,,,,,,,0,0,0,0,
363,FALSE,,,,,,,,0,0,0,0,
364,FALSE,,,,,,,,0,0,0,0,
365,FALSE,,,,,,,,0,0,0,0,
366,FALSE,,,,,,,,0,0,0,0,
367,FALSE,,,,,,,,0,0,0,0,
368,FALSE,,,,,,,,0,0,0,0,
369,FALSE,,,,,,,,0,0,0,0,
370,FALSE,,,,,,,,0,0,0,0,
371,FALSE,,,,,,,,0,0,0,0,
372,FALSE,,,,,,,,0,0,0,0,
373,FALSE,,,,,,,,0,0,0,0,
374,FALSE,,,,,,,,0,0,0,0,
375,FALSE,,,,,,,,0,0,0,0,
376,FALSE,,,,,,,,0,0,0,0,
377,FALSE,,,,,,,,0,0,0,0,
378,FALSE,,,,,,,,0,0,0,0,
379,FALSE,,,,,,,,0,0,0,0,
380,FALSE,,,,,,,,0,0,0,0,
381,FALSE,,,,,,,,0,0,0,0,
382,FALSE,,,,,,,,0,0,0,0,
383,FALSE,,,,,,,,0,0,0,0,
384,FALSE,,,,,,,,0,0,0,0,
385,FALSE,,,,,,,,0,0,0,0,
386,FALSE,,,,,,,,0,0,0,0,
387,FALSE,,,,,,,,0,0,0,0,
388,FALSE,,,,,,,,0,0,0,0,
389,FALSE,,,,,,,,0,0,0,0,
390,FALSE,,,,,,,,0,0,0,0,
391,FALSE,,,,,,,,0,0,0,0,
392,FALSE,,,,,,,,0,0,0,0,
393,FALSE,,,,,,,,0,0,0,0,
394,FALSE,,,,,,,,0,0,0,0,
395,FALSE,,,,,,,,0,0,0,0,
396,FALSE,,,,,,,,0,0,0,0,
397,FALSE,,,,,,,,0,0,0,0,
398,FALSE,,,,,,,,0,0,0,0,
399,FALSE,,,,,,,,0,0,0,0,
400,FALSE,,,,,,,,0,0,0,0,
401,FALSE,,,,,,,,0,0,0,0,
402,FALSE,,,,,,,,0,0,0,0,
403,FALSE,,,,,,,,0,0,0,0,
404,FALSE,,,,,,,,0,0,0,0,
405,FALSE,,,,,,,,0,0,0,0,
406,FALSE,,,,,,,,0,0,0,0,
407,FALSE,,,,,,,,0,0,0,0,
408,FALSE,,,,,,,,0,0,0,0,
409,FALSE,,,,,,,,0,0,0,0,
410,FALSE,,,,,,,,0,0,0,0,
411,FALSE,,,,,,,,0,0,0,0,
412,FALSE,,,,,,,,0,0,0,0,
413,FALSE,,,,,,,,0,0,0,0,
414,FALSE,,,,,,,,0,0,0,0,
